CODIGO,ASIGNATURA,GRUPO,AULA,CURSO,CUATRIMESTRE,HORA1,HORA2,HORA3,HORA4,HORA5,HORA6
2211128,ED,A,0.2,2,1,301,404,405,,,
2211128,ED,A1,2.4,2,1,503,,,,,
2211128,ED,A2,2.2,2,1,403,,,,,
2211128,ED,A3,2.6,2,1,103,,,,,
2211128,ED,B,0.2,2,1,203,202,101,,,
2211128,ED,B1,2.6,2,1,104,,,,,
2211128,ED,B2,2.3,2,1,204,,,,,
2211128,ED,B3,2.2,2,1,404,,,,,
2211128,ED,C,0.7,2,1,203,202,303,,,
2211128,ED,C1,2.3,2,1,503,,,,,
2211128,ED,C2,2.4,2,1,304,,,,,
2211128,ED,C3,3.5,2,1,102,,,,,
2211128,ED,D,0.1,2,1,310,210,211,,,
2211128,ED,D1,2.3,2,1,409,,,,,
2211128,ED,D2,2.4,2,1,309,,,,,
2211128,ED,D3,3.3,2,1,409,,,,,
2961111,ALEM,A,0.3,1,1,503,202,102,,,
2961111,ALEM,A1,1.5,1,1,105,,,,,
2961111,ALEM,A2,0.3,1,1,504,,,,,
2961111,ALEM,A3,0.3,1,1,204,,,,,
2961111,ALEM,B,0.6,1,1,305,304,105,,,
2961111,ALEM,B1,1.5,1,1,102,,,,,
2961111,ALEM,B2,1.7,1,1,502,,,,,
2961111,ALEM,B3,0.6,1,1,403,,,,,
2961111,ALEM,C,0.1,1,1,204,205,405,,,
2961111,ALEM,C1,0.6,1,1,202,,,,,
2961111,ALEM,C2,0.1,1,1,104,,,,,
2961111,ALEM,D,0.2,1,1,209,111,309,,,
2961111,ALEM,D1,0.7,1,1,509,,,,,
2961111,ALEM,D2,1.7,1,1,211,,,,,
2961111,ALEM,D3,0.2,1,1,310,,,,,
2961111,ALEM,E,0.3,1,1,311,310,,,,
2961111,ALEM,E1,1.2,1,1,511,,,,,
2961111,ALEM,E2,1.2,1,1,110,,,,,
2961111,ALEM,E3,0.6,1,1,410,,,,,
2961111,ALEM,F,0.5,1,1,308,111,509,,,
2961111,ALEM,F1,0.5,1,1,310,,,,,
2961111,ALEM,F2,1.6,1,1,510,,,,,
2961112,CA,A,0.3,1,1,103,404,405,,,
2961112,CA,A1,3.3,1,1,104,,,,,
2961112,CA,A2,3.2,1,1,505,,,,,
2961112,CA,A3,3.5,1,1,205,,,,,
2961112,CA,B,0.6,1,1,204,205,104,,,
2961112,CA,B1,3.9,1,1,103,,,,,
2961112,CA,B2,2.6,1,1,503,,,,,
2961112,CA,B3,2.2,1,1,402,,,,,
2961112,CA,C,0.1,1,1,304,305,402,,,
2961112,CA,C1,3.1,1,1,203,,,,,
2961112,CA,C2,3.3,1,1,105,,,,,
2961112,CA,D,0.2,1,1,308,110,109,,,
2961112,CA,D1,2.8,1,1,508,,,,,
2961112,CA,D2,3.2,1,1,210,,,,,
2961112,CA,D3,2.2,1,1,311,,,,,
2961112,CA,E,0.3,1,1,308,408,,,,
2961112,CA,E1,2.4,1,1,510,,,,,
2961112,CA,E2,3.1,1,1,111,,,,,
2961112,CA,E3,2.3,1,1,411,,,,,
2961112,CA,F,0.5,1,1,309,210,211,,,
2961112,CA,F1,3.8,1,1,311,,,,,
