CODIGO,ASIGNATURA,GRUPO,HORA1,HORA2,HORA3,HORA4,HORA5
2961116,LMD,A,102,103,404,,
2961116,LMD,A1,503,,,,
2961116,LMD,A2,104,,,,
2961116,LMD,A3,305,,,,
2961116,LMD,B,102,103,304,,
2961116,LMD,B1,403,,,,
2961116,LMD,B2,303,,,,
2961116,LMD,B3,203,,,,
2961116,LMD,C,104,203,305,,
2961116,LMD,C1,504,,,,
2961116,LMD,C2,404,,,,
2961116,LMD,D,210,211,508,,
2961116,LMD,D1,411,,,,
2961116,LMD,D2,311,,,,
2961116,LMD,D3,110,,,,
2961116,LMD,E,310,410,411,,
2961116,LMD,E1,208,,,,
2961116,LMD,E2,109,,,,
2961116,LMD,E3,509,,,,
2961116,LMD,F,108,209,511,,
2961116,LMD,F1,409,,,,
2961116,LMD,F2,508,,,,
2961117,TOC,A,504,505,,,
2961117,TOC,A1,304,305,,,
2961117,TOC,A2,502,503,,,
2961117,TOC,A3,104,105,,,
2961117,TOC,B,404,405,,,
2961117,TOC,B1,202,203,,,
2961117,TOC,B2,402,403,,,
2961117,TOC,B3,302,303,,,
2961117,TOC,C,402,403,,,
2961117,TOC,C1,404,405,,,
2961117,TOC,C2,204,205,,,
2961117,TOC,D,408,409,,,
2961117,TOC,D1,110,111,,,
2961117,TOC,D2,410,411,,,
2961117,TOC,D3,310,311,,,
2961117,TOC,E,408,409,,,
2961117,TOC,E1,108,109,,,
2961117,TOC,E2,508,509,,,
2961117,TOC,E3,208,209,,,
2961117,TOC,F,310,311,,,
2961117,TOC,F1,308,309,,,
2961117,TOC,F2,408,409,,,
2961118,MP,A,302,405,,,
2961118,MP,A1,104,105,,,
2961118,MP,A2,304,305,,,
2961118,MP,A3,502,503,,,
2961118,MP,B,205,305,,,
2961118,MP,B1,302,303,,,
2961118,MP,B2,202,203,,,
2961118,MP,B3,402,403,,,
2961118,MP,C,105,302,,,
2961118,MP,C1,204,205,,,
2961118,MP,C2,504,505,,,
2961118,MP,D,510,511,,,
2961118,MP,D1,310,311,,,
2961118,MP,D2,110,111,,,
2961118,MP,D3,410,411,,,
2961118,MP,E,210,311,,,
2961118,MP,E1,508,509,,,
2961118,MP,E2,208,209,,,
2961118,MP,E3,108,109,,,
2961118,MP,F,109,208,,,
2961118,MP,F1,508,509,,,
2961118,MP,F2,308,309,,,
2961119,IES,A,204,205,,,
2961119,IES,A1,402,403,,,
2961119,IES,A2,402,403,,,
2961119,IES,A3,402,403,,,
2961119,IES,B,104,105,,,
2961119,IES,B1,504,505,,,
2961119,IES,B2,504,505,,,
2961119,IES,B3,504,505,,,
2961119,IES,C,102,103,,,
2961119,IES,C1,502,503,,,
2961119,IES,C2,502,503,,,
2961119,IES,D,108,109,,,
2961119,IES,D1,308,309,,,
2961119,IES,D2,308,309,,,
2961119,IES,D3,308,309,,,
2961119,IES,E,110,111,,,
2961119,IES,E1,510,511,,,
2961119,IES,E2,510,511,,,
2961119,IES,E3,510,511,,,
2961119,IES,F,210,211,,,
2961119,IES,F1,410,411,,,
2961119,IES,F2,410,411,,,
296111A,ES,A,202,203,303,,
296111A,ES,A1,502,,,,
296111A,ES,A2,105,,,,
296111A,ES,A3,304,,,,
296111A,ES,B,204,502,503,,
296111A,ES,B1,402,,,,
296111A,ES,B2,302,,,,
296111A,ES,B3,202,,,,
296111A,ES,C,202,303,304,,
296111A,ES,C1,505,,,,
296111A,ES,C2,405,,,,
296111A,ES,D,208,209,509,,
296111A,ES,D1,410,,,,
296111A,ES,D2,310,,,,
296111A,ES,D3,111,,,,
296111A,ES,E,211,308,309,,
296111A,ES,E1,209,,,,
296111A,ES,E2,108,,,,
296111A,ES,E3,508,,,,
296111A,ES,F,110,111,510,,
296111A,ES,F1,408,,,,
296111A,ES,F2,509,,,,
